"","X","value","nrTrObjectsPerClass","resizeSize","resizeMethod","thresholding","nrFeatures","featSelect","pca","Representation"
"267","svc",0.04225,200,"16","bicubic","false","100","featselp",0,"Features"
"268","qdc",0.0515,200,"16","bicubic","false","100","featselp",0,"Features"
"269","parzen",0.21175,200,"16","bicubic","false","100","featselp",0,"Features"
"270","bpxnc",0.044625,200,"16","bicubic","false","100","featselp",0,"Features"
"271","loglc",0.02525,200,"16","bicubic","false","100","featselp",0,"Features"
"272","knnc",0.21213,200,"16","bicubic","false","100","featselp",0,"Features"
"273","fisherc",0.02575,200,"16","bicubic","false","100","featselp",0,"Features"
"274","svc",0.80225,200,"16","bicubic","false","100","featselp",0.95,"Features"
"275","qdc",0.45863,200,"16","bicubic","false","100","featselp",0.95,"Features"
"276","parzen",0.45663,200,"16","bicubic","false","100","featselp",0.95,"Features"
"277","bpxnc",0.44275,200,"16","bicubic","false","100","featselp",0.95,"Features"
"278","loglc",0.49913,200,"16","bicubic","false","100","featselp",0.95,"Features"
"279","knnc",0.48213,200,"16","bicubic","false","100","featselp",0.95,"Features"
"280","fisherc",0.55212,200,"16","bicubic","false","100","featselp",0.95,"Features"
"281","svc",0.7215,200,"16","bicubic","false","100","featselp",0.9,"Features"
"282","qdc",0.541,200,"16","bicubic","false","100","featselp",0.9,"Features"
"283","parzen",0.52587,200,"16","bicubic","false","100","featselp",0.9,"Features"
"284","bpxnc",0.51513,200,"16","bicubic","false","100","featselp",0.9,"Features"
"285","loglc",0.5645,200,"16","bicubic","false","100","featselp",0.9,"Features"
"286","knnc",0.539,200,"16","bicubic","false","100","featselp",0.9,"Features"
"287","fisherc",0.60725,200,"16","bicubic","false","100","featselp",0.9,"Features"
"288","svc",0.7215,200,"16","bicubic","false","100","featselp",0.85,"Features"
"289","qdc",0.541,200,"16","bicubic","false","100","featselp",0.85,"Features"
"290","parzen",0.52587,200,"16","bicubic","false","100","featselp",0.85,"Features"
"291","bpxnc",0.56888,200,"16","bicubic","false","100","featselp",0.85,"Features"
"292","loglc",0.5645,200,"16","bicubic","false","100","featselp",0.85,"Features"
"293","knnc",0.539,200,"16","bicubic","false","100","featselp",0.85,"Features"
"294","fisherc",0.60725,200,"16","bicubic","false","100","featselp",0.85,"Features"
"295","svc",0.7215,200,"16","bicubic","false","100","featselp",0.8,"Features"
"296","qdc",0.541,200,"16","bicubic","false","100","featselp",0.8,"Features"
"297","parzen",0.52587,200,"16","bicubic","false","100","featselp",0.8,"Features"
"298","bpxnc",0.52613,200,"16","bicubic","false","100","featselp",0.8,"Features"
"299","loglc",0.5645,200,"16","bicubic","false","100","featselp",0.8,"Features"
"300","knnc",0.539,200,"16","bicubic","false","100","featselp",0.8,"Features"
"301","fisherc",0.60725,200,"16","bicubic","false","100","featselp",0.8,"Features"
"302","svc",0.9,200,"16","bicubic","false","100","featselp",0.7,"Features"
"303","qdc",0.71838,200,"16","bicubic","false","100","featselp",0.7,"Features"
"304","parzen",0.72088,200,"16","bicubic","false","100","featselp",0.7,"Features"
"305","bpxnc",0.723,200,"16","bicubic","false","100","featselp",0.7,"Features"
"306","loglc",0.73338,200,"16","bicubic","false","100","featselp",0.7,"Features"
"307","knnc",0.72,200,"16","bicubic","false","100","featselp",0.7,"Features"
"308","fisherc",0.753,200,"16","bicubic","false","100","featselp",0.7,"Features"
