"","X","value","nrTrObjectsPerClass","resizeSize","resizeMethod","thresholding","nrFeatures","featSelect","pca","Representation"
"169","svc",0.77101,10,"10","box","true","5","featselp",0.8,"Pixels"
"170","qdc",0.9,10,"10","box","true","5","featselp",0.8,"Pixels"
"171","parzen",0.62465,10,"10","box","true","5","featselp",0.8,"Pixels"
"172","bpxnc",0.62141,10,"10","box","true","5","featselp",0.8,"Pixels"
"173","loglc",0.61859,10,"10","box","true","5","featselp",0.8,"Pixels"
"174","knnc",0.68303,10,"10","box","true","5","featselp",0.8,"Pixels"
"175","treec",NA,10,"10","box","true","5","featselp",0.8,"Pixels"
"176","svc",0.41313,10,"10","box","true","20","featselp",0,"Pixels"
"177","qdc",0.9,10,"10","box","true","20","featselp",0,"Pixels"
"178","parzen",0.40202,10,"10","box","true","20","featselp",0,"Pixels"
"179","bpxnc",0.64424,10,"10","box","true","20","featselp",0,"Pixels"
"180","loglc",0.52939,10,"10","box","true","20","featselp",0,"Pixels"
"181","knnc",0.5004,10,"10","box","true","20","featselp",0,"Pixels"
"182","treec",NA,10,"10","box","true","20","featselp",0,"Pixels"
"183","svc",0.44333,10,"10","box","true","20","featselp",0.95,"Pixels"
"184","qdc",0.89899,10,"10","box","true","20","featselp",0.95,"Pixels"
"185","parzen",0.40475,10,"10","box","true","20","featselp",0.95,"Pixels"
"186","bpxnc",0.53051,10,"10","box","true","20","featselp",0.95,"Pixels"
"187","loglc",0.49768,10,"10","box","true","20","featselp",0.95,"Pixels"
"188","knnc",0.44576,10,"10","box","true","20","featselp",0.95,"Pixels"
"189","treec",NA,10,"10","box","true","20","featselp",0.95,"Pixels"
"190","svc",0.41242,10,"10","box","true","20","featselp",0.8,"Pixels"
"191","qdc",0.79242,10,"10","box","true","20","featselp",0.8,"Pixels"
"192","parzen",0.40909,10,"10","box","true","20","featselp",0.8,"Pixels"
"193","bpxnc",0.54707,10,"10","box","true","20","featselp",0.8,"Pixels"
"194","loglc",0.5098,10,"10","box","true","20","featselp",0.8,"Pixels"
"195","knnc",0.43263,10,"10","box","true","20","featselp",0.8,"Pixels"
"196","treec",NA,10,"10","box","true","20","featselp",0.8,"Pixels"
"197","svc",0.38374,10,"10","box","true","50","featselp",0,"Pixels"
"198","qdc",0.86061,10,"10","box","true","50","featselp",0,"Pixels"
"199","parzen",0.32333,10,"10","box","true","50","featselp",0,"Pixels"
"200","bpxnc",0.60283,10,"10","box","true","50","featselp",0,"Pixels"
"201","loglc",0.54636,10,"10","box","true","50","featselp",0,"Pixels"
"202","knnc",0.3402,10,"10","box","true","50","featselp",0,"Pixels"
"203","treec",NA,10,"10","box","true","50","featselp",0,"Pixels"
"204","svc",0.34374,10,"10","box","true","50","featselp",0.95,"Pixels"
"205","qdc",0.85212,10,"10","box","true","50","featselp",0.95,"Pixels"
